ID	label	region	name	name_full	hemi	color	key_L1	name_L1	key_L2	name_L2	key_L3	name_L3
1113	cortex_lh_lat_IPS	cortex	lat_IPS	lateral_intraparietal_sulcus (lat_IPS)	lh	#1D807E	1090	Parietal_Lobe (Parietal)	1112	inferior_parietal_lobule (IPL)	1113	lateral_intraparietal_sulcus (lat_IPS)
1119	cortex_lh_MST	cortex	MST	medial_superior_temporal_area (MST)	lh	#397B80	1090	Parietal_Lobe (Parietal)	1112	inferior_parietal_lobule (IPL)	1119	medial_superior_temporal_area (MST)
1120	cortex_lh_area_7_in_IPL	cortex	area_7_in_IPL	area_7_in_the_inferior_parietal_lobule (area_7_in_IPL)	lh	#8CF7FF	1090	Parietal_Lobe (Parietal)	1112	inferior_parietal_lobule (IPL)	1120	area_7_in_the_inferior_parietal_lobule (area_7_in_IPL)
1126	cortex_lh_area_7m	cortex	area_7m	area_7_(PGm)_on_the_medial_wall (area_7m)	lh	#1D8067	1090	Parietal_Lobe (Parietal)	1125	posterior_medial_cortex (PMC)	1126	area_7_(PGm)_on_the_medial_wall (area_7m)
1128	cortex_lh_PCC	cortex	PCC	posterior_cingulate_cortex (PCC)	lh	#8CFFC6	1090	Parietal_Lobe (Parietal)	1125	posterior_medial_cortex (PMC)	1127	posterior_cingulate_gyrus (PCgG)
1135	cortex_lh_RSC	cortex	RSC	retrosplenial_cortex (RSC)	lh	#A6FFD2	1090	Parietal_Lobe (Parietal)	1125	posterior_medial_cortex (PMC)	1127	posterior_cingulate_gyrus (PCgG)
1141	cortex_lh_HiF	cortex	HiF	hippocampal_formation (HiF)	lh	#1D8027	1138	Temporal_Lobe (Temporal)	1139	medial_temporal_lobe (MTL)	1140	hippocampus (HC)
1147	cortex_lh_preS/paraS	cortex	preS/paraS	presubiculum_and_parasubiculum (preS/paraS)	lh	#00BF20	1138	Temporal_Lobe (Temporal)	1139	medial_temporal_lobe (MTL)	1140	hippocampus (HC)
1148	cortex_lh_paraHipp	cortex	paraHipp	parahippocampal_cortex (paraHipp)	lh	#7CFF73	1138	Temporal_Lobe (Temporal)	1139	medial_temporal_lobe (MTL)	1148	parahippocampal_cortex (paraHipp)
1154	cortex_lh_ERh	cortex	ERh	entorhinal_cortex (ERh)	lh	#43801D	1138	Temporal_Lobe (Temporal)	1139	medial_temporal_lobe (MTL)	1153	rhinal_cortex (Rh)
1160	cortex_lh_PRh	cortex	PRh	perirhinal_cortex (PRh)	lh	#D5FF8C	1138	Temporal_Lobe (Temporal)	1139	medial_temporal_lobe (MTL)	1153	rhinal_cortex (Rh)
1166	cortex_lh_TGa	cortex	TGa	agranular_temporal_pole (TGa)	lh	#6C801D	1138	Temporal_Lobe (Temporal)	1165	temporal_pole (TG)	1165	temporal_pole (TG)
1167	cortex_lh_TGg/TGd	cortex	TGg/TGd	granular_and_dysgranular_temporal_pole (TGg/TGd)	lh	#D7FF73	1138	Temporal_Lobe (Temporal)	1165	temporal_pole (TG)	1165	temporal_pole (TG)
1176	cortex_lh_TEO	cortex	TEO	area_TEO (TEO)	lh	#90FF00	1138	Temporal_Lobe (Temporal)	1175	inferior_temporal_cortex (ITC)	1176	area_TEO (TEO)
1178	cortex_lh_gyral_TE	cortex	gyral_TE	gyral_aspect_of_area_TE (gyral_TE)	lh	#98D431	1138	Temporal_Lobe (Temporal)	1175	inferior_temporal_cortex (ITC)	1177	area_TE (TE)
1185	cortex_lh_TE_in_STSv	cortex	TE_in_STSv	area_TE_in_the_ventral_STS (TE_in_STSv)	lh	#B8E600	1138	Temporal_Lobe (Temporal)	1175	inferior_temporal_cortex (ITC)	1177	area_TE (TE)
1188	cortex_lh_STSf	cortex	STSf	fundus_of_the_superior_temporal_sulcus (STSf)	lh	#807D39	1138	Temporal_Lobe (Temporal)	1175	inferior_temporal_cortex (ITC)	1188	fundus_of_the_superior_temporal_sulcus (STSf)
1195	cortex_lh_STSd	cortex	STSd	dorsal_bank_of_the_superior_temporal_sulcus (STSd)	lh	#FFCC00	1138	Temporal_Lobe (Temporal)	1193	superior_temporal_region (STG/STSd)	1194	rostral_superior_temporal_region (STGr/STSd)
1198	cortex_lh_STGr	cortex	STGr	rostral_superior_temporal_gyrus (STGr)	lh	#80531D	1138	Temporal_Lobe (Temporal)	1193	superior_temporal_region (STG/STSd)	1194	rostral_superior_temporal_region (STGr/STSd)
